Advertised,AdvertisedLocationName,AdvertisedShortLocationName,PrimaryLocationCode,CountryCode,CountyNo,Deleted,LocationSignature,Prognosticated,OfficialLocationName,Geometry.SWEREF99TM,Geometry.WGS84
True,Laxå,Laxå,2318,SE,[18],False,Lå,True,Laxå,POINT (477851 6538882),POINT (14.61460270515658 58.98891910819378)
True,Marma,Marma,10354,SE,[3],False,Maa,True,Marma norra,POINT (633551 6708617),POINT (17.43086204190253 60.49150377844697)
True,Malmö C,Malmö,2611,SE,[12],False,Mc,True,Malmö central,POINT (374034 6164458),POINT (13.00022975756153 55.60971819521705)
True,Mölndal,Mölndal,2820,SE,[14],False,Mdn,True,Mölndals nedre,POINT (322040 6395151),POINT (12.016663733057168 57.66338710843021)
True,Mehedeby,Mehedeby,2682,SE,[3],False,Meh,True,Mehedeby,POINT (632060 6704013),POINT (17.40069750755931 60.45069394593938)
True,Maria,Maria,2588,SE,[12],False,Mia,True,Maria,POINT (357149.104 6216574.057),POINT (12.70498540520503 56.072957789437744)
True,Munkedal,Munkedal,2766,SE,[14],False,Mkl,True,Munkedal,POINT (306075 6485490),POINT (11.674984445399943 58.466885009672716)
True,Mellerud,Mellerud,2674,SE,[14],False,Ml,True,Mellerud,POINT (353111 6509629),POINT (12.46478764579404 58.70183065582811)
True,Moheda,Moheda,10363,SE,[7],False,Mo,True,Moheda,POINT (474281 6317813),POINT (14.576590169141012 57.003120655291596)
True,Motala C,Motala,2751,SE,[5],False,Mot,True,Motala central,POINT (502805 6488556),POINT (15.048178620362682 58.53750680248305)
True,Märsta,Märsta,2808,SE,"[1, 2]",False,Mr,True,Märsta,POINT (661368 6613430),POINT (17.861556052462948 59.627719089811976)
True,Mora C,Mora,2722,SE,[20],False,Mrc,True,Mora central,POINT (476160 6763838),POINT (14.559096089924193 61.00871230341528)
True,Markaryd,Markaryd,2654,SE,[7],False,Mrd,True,Markaryd,POINT (413353 6258122),POINT (13.593922720738288 56.45961821363549)
True,Mörrum,Mörrum,2832,SE,[10],False,Mru,True,Mörrum,POINT (484046 6226906),POINT (14.742953075807238 56.186854158017454)
True,Mariestad,Mariestad,2652,SE,[14],False,Mst,True,Mariestad,POINT (431970 6508497),POINT (13.825665874772632 58.71125833953975)
True,Mantorp,Mantorp,2639,SE,[5],False,Mt,True,Mantorp,POINT (516867 6467490),POINT (15.288154560930568 58.34798880039495)
True,Mullsjö,Mullsjö,2762,SE,[6],False,Mu,True,Mullsjö,POINT (433724 6419799),POINT (13.881370819088058 57.91503506357715)
True,Mjölby,Mjölby,2693,SE,[5],False,My,True,Mjölby,POINT (507738 6464651),POINT (15.132100991529194 58.32274619504279)
True,Mölnlycke,Mölnlycke,2823,SE,[14],False,Myk,True,Mölnlycke,POINT (328092 6394180),POINT (12.118661976565608 57.657026123797195)
True,Morgongåva,Morgongåva,2731,SE,[3],False,Må,True,Morgongåva,POINT (609611 6645563),POINT (16.96136178499378 59.932905784908314)
True,Månsarp,Månsarp,2797,SE,[6],False,Måp,True,Månsarp,POINT (444563 6390570),POINT (14.071051553291966 57.65400314678451)
True,Mölnbo,Mölnbo,2818,SE,"[1, 2]",False,Mö,True,Mölnbo,POINT (638726 6547837),POINT (17.418288038233758 59.047361182405425)
True,Mörarp,Mörarp,2826,SE,[12],False,Mör,True,Mörarp,POINT (367582 6214279),POINT (12.873598103252082 56.05535238002282)
True,Nässjö C,Nässjö,3012,SE,[6],False,N,True,Nässjö central,POINT (481781 6389937),POINT (14.694734586364117 57.65135943333581)
True,Nynäsgård,Nynäsgård,2983,SE,"[1, 2]",False,Ngd,True,Nynäsgård,POINT (669443 6534174),POINT (17.942529473630906 58.91373621985769)
True,Nyköping C,Nyköping,2976,SE,[4],False,Nk,True,Nyköpings central,POINT (615535 6514673),POINT (16.99708492727269 58.75661275152196)
True,Nykvarn,Nykvarn,2974,SE,"[1, 2]",False,Nkv,True,Nykvarn,POINT (638984 6562488),POINT (17.43208037980292 59.17873227311161)
True,Nordmaling,Nordmaling,1583,SE,[24],False,Nog,True,Nordmaling,POINT (722400 7057832),POINT (19.48231845167367 63.57840297680431)
True,Nol,Nol,10379,SE,[14],False,Nol,True,Nol,POINT (325890 6423327),POINT (12.060617657182846 57.917647389765534)
